id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
1z-pH_Yi6dk,O CANAL VAI ACABAR?,2020-08-18 14:00:01+00:00,UCu3PnW9yUmniJj5-QZ44jOQ,Bruna Gomes,2020-08-24 00:00:00+00:00,475770,67569,889,2862,MEU SITE: https://www.brunagomes.com.br/INSTAGRAM:https://www.instagram.com/eibrunagomes/REALIZAÇÃO: PLAY9,People & Blogs
viQ5RbsbkTM,EMOJIS QUE DEVERIAM EXISTIR - CANAL DO CLEPTON,2021-07-16 23:00:15+00:00,UCDaM5npyBufSF9XF7XnDlsA,CLEPTON,2021-07-26 00:00:00+00:00,1649695,204344,2883,1684,"Parte 2: https://youtu.be/8EWC35mMRKsQual emoji vocês acham que deveriam existir? Deixe nos comentários.#Shorts #HumorSalve, pessoal. Tudo bem vocês?Pra você que está chegando agora, eu sou o Erick Clepton (quase como o cantor), humorista, roteirista, improvisador, namorado da Amanda e irmão do Pierre. Aqui no canal você vai acompanhar curiosidades, entrevistas, piadas, jogos de improvisos e o que mais pudermos inventar! 🚀Participe deixando a sua sugestão de tema e vídeo na aba comunidade, e não esqueça de se inscrever para não perder nenhuma novidade. 🦖Comercial: clepton@flocks.tv🤖Edicão: Gustavo VorageProdução executiva: Flocks",Comedy
ugt4OxVg5Qc,Prontos?,2021-02-22 22:51:28+00:00,UCoUK-B7qPl3jY9-Kc1CGGgQ,Jão,2021-02-24 00:00:00+00:00,97625,23956,104,3302,CORINGA - NOVA MÚSICA 24/02 às 21h,Music
a-ZjjYI9d24,PRIMEIRO JANTAR NA CASA NOVA - LASANHA COM 4 INGREDIENTES,2021-04-25 22:04:54+00:00,UC9eXFedzizQtlY5snZ-IFkg,Sunaika Bruna,2021-05-04 00:00:00+00:00,1085848,133430,672,2152,Me siga nas Redes Socias:➡️INSTAGRAM: https://www.instagram.com/sunaikabruna/➡️TWITEER: https://twitter.com/sunaikaasouza➡️FACEBOOK: https://www.facebook.com/sunaikabrunaa,Entertainment
FOm8LqH5lz8,Cardi B x Megan Thee Stallion - Inside the WAP (BTS) [Part 1],2020-09-09 22:36:46+00:00,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,2020-09-16 00:00:00+00:00,7846844,443599,11455,20247,"Cardi B x Megan Thee Stallion - Inside the WAP [Part 1]Stream/Download: https://CardiB.lnk.to/WAPSubscribe for more official content from Cardi B: https://CardiB.lnk.to/SubscribeFollow Cardi Bhttp://cardibofficial.comhttp://Twitter.com/IAmCardiBhttp://Facebook.com/IAmCardiBhttp://Instagram.com/f/iamcardibhttp://Soundcloud.com/IAmCardiBExclusive Bardi Gang merchandise available here: http://smarturl.it/BardiGangMerchYTThe official YouTube channel of Atlantic Records artist Cardi B. Subscribe for the latest music videos, performances, and more.",Music
mmc2sCXrTws,"DADJU, ANITTA - Mon soleil (Official video)",2021-06-25 16:00:10+00:00,UC8HMvOLE0etpO_eVjJ98bHA,DADJU,2021-07-06 00:00:00+00:00,9176180,225431,3485,16748,"Poison ou Antidote - édition Miel Book maintenant disponible :https://dadju.lnk.to/POAMielBook​Avec + d’1 million d’albums vendus, Dadju figure désormais comme l’un des artistes majeur de la scène musicale française !————————————————En concert événement au Parc des Princes le 18 juin 2022 :https://smarturl.it/DadjuParcDesPrinces​Et en tournée dans toute la France :P.O.A TOUR : https://smarturl.it/DadjuPOATour​————————————————Suivez toute l'actualité de DADJU :https://www.instagram.com/DADJU​https://www.facebook.com/DADJU​https://twitter.com/DADJU​Snapchat : Dadjnight#Dadju #Anitta #MonSoleil",Music
VPG-40GA8Q8,JayA Luuck | BOOMERANG | Prod. Greezy,2020-09-25 15:00:11+00:00,UCUab6awqVYgwJge07VFBphg,Aldeia Records,2020-10-01 00:00:00+00:00,434927,62717,417,1995,"Escute a música no SPOTIFY ou na sua plataforma favorita: https://ditto.fm/boomerang-jaya-luuckgreezy-aldeia-recordsMúsica: BoomerangArtistas: JayA Luuck, GreezyBeat: GreezyMix/Master: GreezyProdução AudioVisual: Jr. BlackRoteiro Plano Sequência: Colosso, Jr. Black, JayA LuuckRealização: Aldeia RecordsProdução Executiva: Jorge Oliveira",Music
wxBb8ADY7SA,BASTIDORES DO DERBY | Corinthians 0 x 2 Palmeiras | BRASILEIRO 2020,2020-09-12 13:00:13+00:00,UCBKc-rPDivvwFiWdG-81wxw,TV Palmeiras/FAM,2020-09-18 00:00:00+00:00,275155,26812,247,1546,"QUE MOMENTO! Confira os bastidores da vitória do Verdão na casa do rival. Veja o vestiário antes do jogo e a comemoração após! ---------É fundamental que você SE INSCREVA na TV PALMEIRAS, CURTA cada vídeo e ATIVE o SINO de NOTIFICAÇÕES (para receber aviso no celular sempre que tem vídeo novo do Verdão)!-----------Siga o Verdão nas redes sociais! Facebook: http://facebook.com/PalmeirasInstagram: http://Instagram.com/PalmeirasTwitter: https://twitter.com/Palmeiras------------Clique e assine agora mesmo o Esporte Interativo Plushttps://bit.ly/2Iruc3c-------------",Sports
E_SZ3ObGyTA,BTS (방탄소년단) 'Film out' Official Teaser,2021-03-25 15:00:04+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,2021-04-05 00:00:00+00:00,18431673,2935572,22780,300131,"BTS (방탄소년단) 'Film out' Official TeaserBTS (방탄소년단) 'Film out' Official MV will be released at 12AM (JST/KST) on April 2, 2021Song Credits:Produced by back number, UTA for TinyVoice, Production(Iyori Shimizu from back number, JUNG KOOK)Music Video Credits:Director: Yong Seok Choi (Lumpens)1st AD: Jihye Yoon (Lumpens)2nd AD: Ran Ro (Lumpens)PA: Chanyang Kim, Soeyoung ParkDirector of Photography: EumkoFocus Puller: Sangwoo Yun2nd AC: Youngwoo Lee, Eunil Lee3rd AC: Yuntae KoGaffer: Choi Doo Soo (DS LIGHT)Lighting Crew: Heo Jung Hwan, Jung Yu Jin, Lee Seong Min, Lee Sang Jun, Lee Gun, La haeArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art team: Yeri Kang, Minjung Kim (MU:E)Art-team Manager: ilho Heo (MU:E)Key Grip: Kiheon ChoiBestboy: Sungeun KimGrip: Hobin Kang , Hyunsuk JoTechno Crane : SeviceVision KoreaTaehyun Choi , Yonggeun Hwang , Jisoo Woo , Hakseo Kim , Jaewon JungJimmy Jib Operator: Youngjung KimJimmy Jib Assistant: Hyunin Kim , Sunghoon Kim , Yunhyun KimVFX: PLASTIC BEACHVFX Supervisor: OHZEONVFX Assistant Supervisor: JOJEEMVFX Project Manager: Song Chanyoung, Jeong JieunVFX Producer: Jang Kyutae, Ahn Sohyun3D Artist: Lee Kwangwon, Kim Doyeon, Lee Jeonghwa, Jeon Jiwon2D Artist: Jang Gihoon, Lee Hyunjun, Shin HyeunsungFX Artist: We JungInVisual Creative: Nu Kim, Lee Sun Kyoung, Kang Ju Eun, Kim Ga Eun, Kim Hyo Won, Cha Yeon HwaArtist Management: Kim Shin Gyu, Jang Jin Gu, Kim Su Bin, An Da Sol, Park Jun Tae, Yun Taewoong, Lee Seung Byung, Lee Jung Min, Lee Hyeon KiBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts​ https://bts-official.jphttp://twitter.com/BTS_bighit​http://twitter.com/BTS_twt​ http://twitter.com/BTS_jp_officialhttp://www.facebook.com/bangtan.official​ https://www.youtube.com/user/BANGTANTV​ http://instagram.com/BTS.bighitofficial​ https://channels.vlive.tv/FE619​ https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190​https://www.weibo.com/BTSbighit​https://www.weibo.com/BTSmembers​ http://i.youku.com/btsofficial​ http://btsblog.ibighit.com​https://bts-officialshop.jp/#BTS​ #방탄소년단​ #Filmout #BTSTHEBEST #Teaser",Music
j7O0pN59534,FLAMENGO PERDE para o ATHLETICO; INTER VENCE o GRÊMIO e DISPARA no TOPO | De Placa (25/01/21),2021-01-25 15:19:35+00:00,UCdkhkda5VQPbKSzx03HohMw,De Placa,2021-01-28 00:00:00+00:00,90241,5337,160,38,"No #DePlaca de hoje vamos falar muito sobre a rodada do Brasileirão. O Flamengo perdeu para o Athletico-PR e viu a distância para o líder aumentar ainda mais. O Rubro-Negro de Dome tinha mais equilíbrio que o de Rogério Ceni? O Internacional venceu o Grêmio nos acréscimos e disparou na liderança. O pós-jogo foi recheado de críticas a arbitragem pelo lado Tricolor. Para Renato Gaúcho, avacalharam com a competição. Isso e muito mais. Vem com a gente!Se inscreva no canal para não perder nenhum De Placa! De segunda a sexta, 10h30, com o melhor debate esportivo do Youtube!Assista aos jogos da Champions League, Brasileirão, Campeonato Italiano e Nations League ao vivo pelo Estádio TNT Sports! Acesse o link: https://bit.ly/35zfrbfAcesse o portal da TNT Sports: http://www.tntsports.com.br/",Sports
