id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
5EgHtwjzO6Q,DECORAÇÃO QUARTO ESTILO PINTEREST - NINA,2020-10-11 19:00:11+00:00,UC9cz3FnqBZHoQS8ucziPIOQ,Dica Da Ka,2020-10-17 00:00:00+00:00,93789,7181,69,158,"Nesse vídeo mostrei a decoração clean que escolhi para o quarto da Nina, uma decoração estilo Pinterest.A Nina já havia me mostrado muitas referências no Pinterest e todas com esse estilo clean e com o tom do verde agua.Decidi reutilizar alguns objetos e móveis de decoração que já tinham no quarto e fazer uma proposta totalmente diferente da última casa.",People & Blogs
yScXLw26ANM,SpiderRusso Movimento de Parkour,2021-07-12 20:29:20+00:00,UCSGxK7HHQ15o2KOWu8pCnWw,Spider Russo Oficial,2021-07-21 00:00:00+00:00,862683,131066,5392,453,Acrobacia por cima da água #parkour #homemaranha #spiderrusso #shorts,Entertainment
jvtpEPQxOsM,"Astralis vs G2, Furia vs MIBR | BLAST Premier Fall Series Group 3 Day 2",2020-11-04 04:59:33+00:00,UC9k--dE_UE0Faxzgb_DDkYQ,BLAST Premier,2020-11-10 00:00:00+00:00,716134,10766,186,66,"Subscribe for all the BLAST Premier Fall Series Live Streams!TIMESTAMPS:00:00:00 Countdown00:24:58 Show Start00:56:14 Astralis vs G2 - Dust202:04:50 Astralis vs G2 - Nuke03:23:03 Astralis vs G2 - Inferno05:23:07 Furia vs MIBR - Nuke06:32:38 Furia vs MIBR - Inferno08:07:35 Furia vs MIBR - VertigoGroup 1: NAVI, NIP, EG and OGGroup 2: Complexity, Team Vitality, BIG and Faze Group 3: Astralis, FURIA, MIBR and G2Join in the funhttps://blastpremier.com/fancam/https://twitter.com/BLASTPremierhttps://discord.gg/Rhmkwybhttps://www.instagram.com/blastpremier/ #BLASTPremier #CSGO #BLASTFinalThis is BLAST Premier, the YouTube channel dedicated to bringing you the very best in competitive CSGO. For live streams, highlights, top plays and just a bit of fun subscribe:  http://www.youtube.com/channel/UC9k--dE_UE0Faxzgb_DDkYQ?sub_confirmation=1",Gaming
DhlZrS3FQcM,ESTOU GRAVIDA? ESTOU MORANDO SOZINHA? CORTEI O CABELO?,2021-03-30 13:59:48+00:00,UCj4djAcrjt2NSmPiZh-W1Wg,Ficando Gata,2021-04-09 00:00:00+00:00,138009,19593,172,2160,ESMALTE DE HOJE: cor Banho de lavanda HaskellBATOM: Lip Volumoso cor 05 da Max Love + Lip tint Boca RosaGostaria de enviar alguma coisa para mim?Envie através da minha caixa postal:A/C: Beatriz SiqueiraCaixa Postal: 106Cep: 15130-970Mirassol - SPINFORMAÇÕES ABAIXO ↓ 🔸EMAIL - CONTATO PROFISSIONAL: Ficandogatablog@gmail.com🔸INSTAGRAM: http://www.instagram.com/ficandogataa🔸 FAN PAGE: https://www.facebook.com/ficandogataa,People & Blogs
KRkmV7LUvrg,Flamengo x Resende AO VIVO na Fla TV | Carioca Sub-20 2020,2020-09-26 20:34:14+00:00,UCOa-WaNwQaoyFHLCDk7qKIw,FLA TV,2020-10-02 00:00:00+00:00,606178,36726,632,161,"Acompanhe AO VIVO na #FlaTV (com imagens) o jogo entre #Flamengo e Resende, na Gávea, válido pela fase de grupos da Taça Guanabara do Carioca Sub-20. A bola rola às 15h (de Brasília) e a Fla TV abre o pré-jogo a partir das 14h15, com narração de Emerson Santos, comentários de Ian Sena e reportagem de Julie Santos. #CariocaSub20 #GarotosDoNinhoTAÇA GUANABARA SUB-20 2020Flamengo x ResendeSábado, 26/09/2020Estádio José Bastos Padilha (Gávea)ESCALAÇÃO FLAMENGO1  - Bruno2  - Breno3  - Mandovani4  - Leo Xavier6  - Sidney5  - Daniel Campos8  - Pedro Martins10- Victor Hugo ⚽️7  - Ronald9  - Mateus Dias ⚽️11- Werton ⚽️⚽️ (21 - Jean Sales)Técnico: Mario JorgeInscreva-se na #FlaTV. Vídeos todos os dias!Subscribe to Flamengo channel, a 40-million-fans nation. Join us!----------Com você o Mengão vai mais longe!Seja sócio-torcedor: http://mengo.com.br𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial",Sports
_tpRhRyyUpM,A REFORMA DA MINHA XT660 FICOU PRONTA,2021-02-03 15:00:11+00:00,UCs1JevIKnU4E4ULMZr-0Qog,Hugo Milgrau,2021-02-13 00:00:00+00:00,563612,51273,625,1579,Me siga no Insta: @hugooficialMeu face: http://facebook.com/hugo.milgrauQUER ME ENVIAR PRESENTES?Caixa Postal numero 16CEP: 72800 970Luziânia-GO,Entertainment
xOEK1zizQkA,"Mulheres depois dos 40: como manter o equilíbrio físico, mental e espiritual | Patrícia Cândido #19",2021-07-16 00:17:11+00:00,UCR1MM1-bUFZsr9B9OEPojUQ,Fitoenergética,2021-07-22 00:00:00+00:00,31228,4663,43,232,"🌿 Inscreva-se para participar da Imersão Alquimista das Ervas: https://www.luzdaserra.com.br/fito🍀 Inscreva-se para ser avisado das aulas que acontecem todas Quintas às 16 horas : https://www.luzdaserra.com.br/16h📱 NOSSO GRUPO NO TELEGRAM →   https://www.luzdaserra.com.br/telegram Acesse a página e entre para nosso exclusivo no Telegram, caso você não saiba instalar não se preocupe, lá temos o tutorial completo para você. Aproveite 😍💛 Baixe o novo aplicativo Guru Luz da Serra: https://www.luzdaserra.com.br/guru-luzdaserra________________________________________________📸 Nosso Instagram ↴@brunojgimenes → http://instagram.com/brunojgimenes@pat.candido → http://instagram.com/pat.candido________________________________________________📹 Se inscreva em nosso canal: https://www.youtube.com/channel/UCR1M...________________________________________________📚 TAGS: #luzdaserra #fitoenergetica #patríciacândido",Education
Vve1vy61HSQ,SBK 2020 1ª Etapa Interlagos-SP - SuperBike Evolution 1000cc - Corrida na íntegra,2020-08-30 13:47:14+00:00,UC2nig5M6hLpKbTB4Yc7cQ9A,SuperBikeBrasil,2020-09-03 00:00:00+00:00,33636,929,10,14,,Sports
Anuis5pxUFg,MOMENTOS MAIS ENGRAÇADOS DO FALAIDEARO,2020-08-22 16:30:01+00:00,UCCJC7YIZytEccbU0AWQIBHA,Falaidearo,2020-08-29 00:00:00+00:00,1784236,81219,2662,5379,"E no vídeo de hoje, separamos os melhores e mais engraçados momentos desse canal. Promoção Compre 1 moletom e GANHE 2 camisetas*Válido até Domingo 23/08/20  Cupom: LOLJAFAZ8Compre aqui: https://www.lolja.com.br/parceiros/falaidearo/SEGUE A GENTE!✔ Instagram: @ogabrieldearo https://www.instagram.com/ogabrieldearo@Manudigilio https://www.instagram.com/manudigilio/✔ Twitter: @Ogabrieldearo https://twitter.com/ogabrieldearo@Manudigilio https://twitter.com/manudigilio✔ Facebook:Falaidearo https://www.facebook.com/superdearo/Dearo e Manu https://www.facebook.com/dearoemanuContato Profissional:superdearo@gmail.comCaixa Postal: 3003CEP: 14010-971Ribeirão Preto - SP- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Conheça nossos outros canais:Dearo e Manu: https://www.youtube.com/dearoemanuOperação Cinema: https://www.youtube.com/operacaocinema- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Canal FalaidearoGabriel DearoManuela Digilio- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -Músicas do vídeo:epidemicsound.com/",Entertainment
qazfLF6QdqE,Andressa Urach - Noite Virou Dia (Clipe Oficial),2020-08-14 03:00:08+00:00,UCuxV-qqrGe5hnhS_x6j5IdA,Andressa Urach Oficial,2020-08-19 00:00:00+00:00,190458,28749,705,2251,"MUSICA: Noite Virou DiaCantora: Andressa Urach (@andressaurachoficial)Compositora: Elisa Hares (@elisahares)GRAVADORA: MJC Gospel (@mjcgospel)http://www.mjcmusic.com.brPRODUTOR MUSICAL: Rafael Oliveira (@rafaeloliveiraoficiall)Riomar Studios (@riomarstudios)http://www.riomarstudios.com.brCLIPE:Clipe: Jah Agência Direção de arte: Paulo Júnior (pj_rock)Ilustração e Animação: Renato Gangemi Finalização: Alison LeiteLETRA:E se eu disser por onde andei Nessa estrada louca, contra mão da vidaE se eu disser o quanto erreiConsiderando essa loucura como minha melhor amigaAh, tantos desejosMe entreguei!Morri pra viverPerdi pra ganharEu não sabia onde era o meu lugarA rejeição e toda dorAlimentando um sentimento de vingançaEu não sabia o que era o amorA minha vida um labirinto sem esperançaAh, tantos desejosMe entreguei!Morri pra viverPerdi pra ganharEu não sabia onde era o meu lugarAssim como a águia que renova as suas forçasAssim como sol que vem tocar a almaA noite virou diaA minha noite virou dia Assim como a águia que renova as suas forçasAssim como sol que vem tocar a almaA noite virou diaA minha noite virou dia, noite virou dia.A minha noite virou dia",Music
